Track ID,Title,Artist,Album,Release Year,Genre,Duration (s),Popularity,Energy,Danceability,Valence
track_1,Song 1,Artist 198,Album 234,2023,Jazz,240,81,0.6288691612552143,0.7909391879004213,0.49438646192437163
track_2,Song 2,Artist 56,Album 153,2023,Hip-hop,121,88,0.6552853809593512,0.49498280956838203,0.1605030949801195
track_3,Song 3,Artist 252,Album 228,2023,Reggaeton,371,65,0.3486512719218037,0.8847242455249692,0.0925912228382274
track_4,Song 4,Artist 80,Album 115,2023,Hip-hop,181,86,0.14595520587877842,0.48744026796242845,0.3863771413039562
track_5,Song 5,Artist 323,Album 51,2023,Jazz,140,48,0.2771573422767021,0.03059708985903653,0.6928207359438697
track_6,Song 6,Artist 8,Album 75,2023,Jazz,207,70,0.2579645502043846,0.2275406121896193,0.7031510707248667
track_7,Song 7,Artist 427,Album 158,2023,Pop,278,59,0.03588530974254378,0.9634094090950995,0.14315973648200375
track_8,Song 8,Artist 161,Album 300,2023,Reggaeton,219,47,0.1738908625611657,0.3248625520947881,0.2514702205171162
track_9,Song 9,Artist 189,Album 247,2023,Pop,229,11,0.7844294024305019,0.38944693108928774,0.37038434705855594
track_10,Song 10,Artist 456,Album 300,2023,Country,295,75,0.9523282666325111,0.7078695234650538,0.8406042251480305
track_11,Song 11,Artist 155,Album 191,2023,Rock,140,93,0.4260396896502181,0.6097294003780944,0.5565565155635592
track_12,Song 12,Artist 208,Album 92,2023,Rock,315,50,0.08371775259968206,0.1463703077159707,0.6027550236739023
track_13,Song 13,Artist 379,Album 120,2023,Country,128,35,0.04136500275299959,0.787439767736459,0.9303915590006743
track_14,Song 14,Artist 480,Album 256,2023,Pop,302,24,0.18475780207913362,0.8152094313327939,0.6204268629978424
track_15,Song 15,Artist 211,Album 90,2023,Reggaeton,165,90,0.1398873437191699,0.4337660333279423,0.27510416950994165
track_16,Song 16,Artist 13,Album 20,2023,Classical,205,74,0.6463509721982453,0.9003250930104096,0.37643139468870146
track_17,Song 17,Artist 253,Album 215,2023,Electronic,179,88,0.6682016276260323,0.6167442547374931,0.2655808685159412
track_18,Song 18,Artist 382,Album 9,2023,Rock,259,100,0.7266382268203225,0.17913191545074647,0.8203486322593028
track_19,Song 19,Artist 146,Album 63,2023,Electronic,197,63,0.3314399526013899,0.559462096248482,0.11715353692019037
track_20,Song 20,Artist 198,Album 160,2023,Jazz,294,50,0.6419024982077326,0.010900438935724122,0.7073509501443221
track_21,Song 21,Artist 242,Album 37,2023,Pop,304,51,0.053383971657428364,0.0010629971396026727,0.38862245794756
track_22,Song 22,Artist 268,Album 2,2023,Jazz,178,21,0.05163794164470703,0.6727259740667598,0.5622170864024738
track_23,Song 23,Artist 74,Album 46,2023,Pop,209,59,0.5832124884105728,0.932174851083735,0.19980222983878437
track_24,Song 24,Artist 497,Album 114,2023,Rock,191,13,0.7802851723006203,0.5174084172787572,0.3283860965495127
track_25,Song 25,Artist 248,Album 231,2023,Pop,367,16,0.07816289320784497,0.621210813491704,0.089540865624266
track_26,Song 26,Artist 306,Album 65,2023,Rock,252,100,0.5424502792081218,0.6128374126705409,0.7129798219792703
track_27,Song 27,Artist 238,Album 202,2023,Hip-hop,263,51,0.701807252562828,0.19858186398592315,0.4926943689496277
track_28,Song 28,Artist 114,Album 107,2023,Hip-hop,205,78,0.8692126648268496,0.4511668136261012,0.202929173620767
track_29,Song 29,Artist 214,Album 265,2023,Hip-hop,381,48,0.21589219791866054,0.5698131823669781,0.48947672290128186
track_30,Song 30,Artist 442,Album 196,2023,Rock,374,88,0.876812560691269,0.9364387807196561,0.35837379118388013
track_31,Song 31,Artist 303,Album 232,2023,Jazz,177,66,0.03294248662359389,0.8748383172571919,0.3360615319064345
track_32,Song 32,Artist 47,Album 109,2023,Country,358,31,0.24543439930820532,0.9669912192810287,0.4339902339607764
track_33,Song 33,Artist 23,Album 202,2023,Reggaeton,270,89,0.525063746092492,0.7350376099967159,0.6479029079103292
track_34,Song 34,Artist 224,Album 87,2023,Electronic,199,52,0.3933150360617722,0.5520418949597294,0.8536726310402895
track_35,Song 35,Artist 347,Album 141,2023,Country,231,34,0.3538125970767352,0.9721568837708258,0.908430687681615
track_36,Song 36,Artist 307,Album 288,2023,Jazz,175,45,0.5065084130571768,0.039673629919825926,0.5954126049232976
track_37,Song 37,Artist 421,Album 164,2023,Rock,178,91,0.9631437480676492,0.8125913210255458,0.9657770042838999
track_38,Song 38,Artist 315,Album 99,2023,Rock,185,19,0.6571305117506777,0.472302296001353,0.8771634883005788
track_39,Song 39,Artist 74,Album 284,2023,Rock,211,46,0.5654909858978592,0.8177065345172222,0.005199794714266237
track_40,Song 40,Artist 159,Album 168,2023,Rock,205,72,0.5637295838361742,0.7359364517762352,0.6114922255931742
track_41,Song 41,Artist 332,Album 34,2023,Reggaeton,382,60,0.3193045747669976,0.6355194243669025,0.5540200176173555
track_42,Song 42,Artist 316,Album 174,2023,Pop,250,15,0.8866571641299544,0.03204950866443701,0.16665974975367615
track_43,Song 43,Artist 221,Album 146,2023,Hip-hop,387,20,0.3756599670481594,0.9215859728090852,0.09389429000200822
track_44,Song 44,Artist 450,Album 261,2023,Hip-hop,175,68,0.056698013481710996,0.5349269199971163,0.7899909068356131
track_45,Song 45,Artist 341,Album 234,2023,Pop,261,38,0.9452372995210316,0.18767809811496983,0.0022956138696660355
track_46,Song 46,Artist 314,Album 123,2023,Jazz,209,44,0.24029678545400324,0.7497272201165182,0.7949687395184978
track_47,Song 47,Artist 492,Album 21,2023,Classical,166,36,0.7088664754823015,0.34104182137813777,0.5244060605177107
track_48,Song 48,Artist 108,Album 255,2023,Country,328,82,0.2509704998167668,0.8401897372655219,0.7367488452619194
track_49,Song 49,Artist 249,Album 176,2023,Hip-hop,236,8,0.5841599599486853,0.6291159603883245,0.866481442590886
track_50,Song 50,Artist 379,Album 52,2023,Pop,265,77,0.057577297192133337,0.9794618258210573,0.11003419313441587
